X,y
-8.473834212520856,0.0
5.598375844802293,1.0
-1.23181537118213,0.0
4.469303556618824,1.0
9.559790239932052,1.0
0.7699174082086735,1.0
0.022409273198757962,1.0
-8.55897733280477,0.0
-4.631220397962577,0.0
-0.0023499834888007776,1.0
3.5845999224188096,0.0
6.074780722087509,1.0
-2.381177337029232,0.0
-8.681273061881898,0.0
-4.237088013840129,0.0
8.191870554392274,1.0
-5.73229292840169,0.0
-0.9575207636463379,1.0
8.624120393780434,1.0
-9.50201544899304,0.0
2.0109783492824507,0.0
9.002590008272913,1.0
-5.3939424195807035,0.0
0.9697983847206082,1.0
8.182567497734626,1.0
-7.336611084814997,0.0
0.46825161347531674,1.0
5.008197182040696,1.0
3.3802648176782757,1.0
-0.6449428051003858,0.0
-5.903018194044098,0.0
-0.1846822181785912,0.0
-2.5523062122988205,0.0
-0.4519769029682319,1.0
-2.6821922843881407,0.0
6.758359886185213,1.0
5.372950130390186,1.0
-3.7201064557467567,0.0
1.4525066528790798,0.0
-4.479019033386098,0.0
-0.943141349071992,1.0
-2.940432681112106,1.0
3.147989255595165,1.0
-2.592978340239296,1.0
-0.8181404421713712,0.0
4.38648245018083,1.0
-1.7401634177233083,1.0
8.128465383286773,1.0
-6.3909676159463675,0.0
4.822377458265286,1.0
